bottle,consumedOn,verdictThen,verdictNow,windowThen,windowNow
brooks-pinot-noir-2012-a,2024-01-24,IN_WINDOW,IN_WINDOW,2019-2031 personal 2018-11-24,2019-2031 personal 2018-11-24
brooks-pinot-noir-2012-b,2017-08-23,IN_WINDOW,EARLY,2017-2027 producer 2014-03-12,2019-2031 personal 2018-11-24
brooks-pinot-noir-2012-c,2018-05-15,IN_WINDOW,EARLY,2017-2027 producer 2014-03-12,2019-2031 personal 2018-11-24
brooks-pinot-noir-2012-d,2017-12-07,IN_WINDOW,EARLY,2017-2027 producer 2014-03-12,2019-2031 personal 2018-11-24
brooks-pinot-noir-2012-e,2017-12-18,IN_WINDOW,EARLY,2017-2027 producer 2014-03-12,2019-2031 personal 2018-11-24
brooks-pinot-noir-2012-f,2017-12-14,IN_WINDOW,EARLY,2017-2027 producer 2014-03-12,2019-2031 personal 2018-11-24
brooks-pinot-noir-2012-g,2018-11-23,IN_WINDOW,EARLY,2017-2027 producer 2014-03-12,2019-2031 personal 2018-11-24
brooks-pinot-noir-2012-h,2022-11-21,IN_WINDOW,IN_WINDOW,2019-2031 personal 2018-11-24,2019-2031 personal 2018-11-24
brooks-pinot-noir-2012-j,2024-08-06,IN_WINDOW,IN_WINDOW,2019-2031 personal 2018-11-24,2019-2031 personal 2018-11-24
brooks-pinot-noir-2012-l,2020-05-15,IN_WINDOW,IN_WINDOW,2019-2031 personal 2018-11-24,2019-2031 personal 2018-11-24
brooks-pinot-noir-2013-a,2020-10-10,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-11-13,2018-2026 personal 2018-11-13
brooks-pinot-noir-2013-c,2020-05-03,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-11-13,2018-2026 personal 2018-11-13
brooks-pinot-noir-2013-d,2016-11-03,EARLY,EARLY,2018-2028 producer 2015-06-12,2018-2026 personal 2018-11-13
brooks-pinot-noir-2013-e,2026-08-11,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-11-13,2018-2026 personal 2018-11-13
brooks-pinot-noir-2013-f,2024-11-16,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-11-13,2018-2026 personal 2018-11-13
brooks-pinot-noir-2013-h,2018-06-20,IN_WINDOW,IN_WINDOW,2018-2028 producer 2015-06-12,2018-2026 personal 2018-11-13
brooks-pinot-noir-2013-i,2021-12-02,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-11-13,2018-2026 personal 2018-11-13
brooks-pinot-noir-2013-j,2018-11-12,IN_WINDOW,IN_WINDOW,2018-2028 producer 2015-06-12,2018-2026 personal 2018-11-13
brooks-pinot-noir-2013-k,2020-10-23,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-11-13,2018-2026 personal 2018-11-13
brooks-pinot-noir-2013-l,2024-12-15,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-11-13,2018-2026 personal 2018-11-13
brooks-pinot-noir-2014-a,2019-06-19,IN_WINDOW,IN_WINDOW,2019-2029 producer 2016-03-12,2019-2028 personal 2019-12-04
brooks-pinot-noir-2014-b,2018-02-14,EARLY,EARLY,2019-2029 producer 2016-03-12,2019-2028 personal 2019-12-04
brooks-pinot-noir-2014-c,2020-11-12,IN_WINDOW,IN_WINDOW,2019-2028 personal 2019-12-04,2019-2028 personal 2019-12-04
brooks-pinot-noir-2014-d,2020-07-20,IN_WINDOW,IN_WINDOW,2019-2028 personal 2019-12-04,2019-2028 personal 2019-12-04
brooks-pinot-noir-2014-e,2020-01-27,IN_WINDOW,IN_WINDOW,2019-2028 personal 2019-12-04,2019-2028 personal 2019-12-04
brooks-pinot-noir-2014-f,2019-10-08,IN_WINDOW,IN_WINDOW,2019-2029 producer 2016-03-12,2019-2028 personal 2019-12-04
