period,start,end,bottle,wine
2023,2023-01-01,2023-12-31,paradis-vineyards-estate-marechal-foch-2021-d,paradis-vineyards-estate-marechal-foch-2021
2023,2023-01-01,2023-12-31,paradis-vineyards-estate-marechal-foch-2021-e,paradis-vineyards-estate-marechal-foch-2021
2023,2023-01-01,2023-12-31,paradis-vineyards-estate-marechal-foch-2021-f,paradis-vineyards-estate-marechal-foch-2021
2023,2023-01-01,2023-12-31,paradis-vineyards-marechal-foch-2021-a,paradis-vineyards-marechal-foch-2021
2023,2023-01-01,2023-12-31,paradis-vineyards-marechal-foch-2021-d,paradis-vineyards-marechal-foch-2021
2023,2023-01-01,2023-12-31,paradis-vineyards-marechal-foch-2021-f,paradis-vineyards-marechal-foch-2021
2023,2023-01-01,2023-12-31,paradis-vineyards-pinot-gris-2021-f,paradis-vineyards-pinot-gris-2021
2023,2023-01-01,2023-12-31,paradis-vineyards-pinot-noir-2019-a,paradis-vineyards-pinot-noir-2019
2023,2023-01-01,2023-12-31,paradis-vineyards-pinot-noir-2019-e,paradis-vineyards-pinot-noir-2019
2023,2023-01-01,2023-12-31,st-josef-s-pinot-noir-2019-b,st-josef-s-pinot-noir-2019
2023,2023-01-01,2023-12-31,vitis-ridge-chardonnay-2019-b,vitis-ridge-chardonnay-2019
2023,2023-01-01,2023-12-31,vitis-ridge-chardonnay-2019-f,vitis-ridge-chardonnay-2019
2023,2023-01-01,2023-12-31,vitis-ridge-marechal-foch-2021-c,vitis-ridge-marechal-foch-2021
2023,2023-01-01,2023-12-31,vitis-ridge-marechal-foch-2021-d,vitis-ridge-marechal-foch-2021
2023,2023-01-01,2023-12-31,vitis-ridge-pinot-noir-2019-a,vitis-ridge-pinot-noir-2019
2023,2023-01-01,2023-12-31,vitis-ridge-rose-of-pinot-noir-2021-a,vitis-ridge-rose-of-pinot-noir-2021
2023,2023-01-01,2023-12-31,vitis-ridge-rose-of-pinot-noir-2021-b,vitis-ridge-rose-of-pinot-noir-2021
2024,2024-01-01,2024-12-31,california-assorted-cabernet-sauvignon-2013-a,california-assorted-cabernet-sauvignon-2013
2024,2024-01-01,2024-12-31,farm-on-golden-hill-pinot-noir-2022-b,farm-on-golden-hill-pinot-noir-2022
2024,2024-01-01,2024-12-31,farm-on-golden-hill-pinot-noir-2022-d,farm-on-golden-hill-pinot-noir-2022
2024,2024-01-01,2024-12-31,farm-on-golden-hill-pinot-noir-2022-f,farm-on-golden-hill-pinot-noir-2022
2024,2024-01-01,2024-12-31,farm-on-golden-hill-rose-2023-b,farm-on-golden-hill-rose-2023
2024,2024-01-01,2024-12-31,paradis-vineyards-estate-marechal-foch-2021-d,paradis-vineyards-estate-marechal-foch-2021
2024,2024-01-01,2024-12-31,paradis-vineyards-estate-marechal-foch-2021-e,paradis-vineyards-estate-marechal-foch-2021
2024,2024-01-01,2024-12-31,paradis-vineyards-estate-marechal-foch-2021-f,paradis-vineyards-estate-marechal-foch-2021
2024,2024-01-01,2024-12-31,paradis-vineyards-marechal-foch-2021-a,paradis-vineyards-marechal-foch-2021
2024,2024-01-01,2024-12-31,paradis-vineyards-marechal-foch-2021-d,paradis-vineyards-marechal-foch-2021
2024,2024-01-01,2024-12-31,paradis-vineyards-marechal-foch-2021-f,paradis-vineyards-marechal-foch-2021
2024,2024-01-01,2024-12-31,paradis-vineyards-pinot-gris-2021-f,paradis-vineyards-pinot-gris-2021
2024,2024-01-01,2024-12-31,paradis-vineyards-pinot-noir-2019-a,paradis-vineyards-pinot-noir-2019
2024,2024-01-01,2024-12-31,paradis-vineyards-pinot-noir-2019-e,paradis-vineyards-pinot-noir-2019
2024,2024-01-01,2024-12-31,st-josef-s-pinot-noir-2019-b,st-josef-s-pinot-noir-2019
2024,2024-01-01,2024-12-31,vitis-ridge-chardonnay-2019-b,vitis-ridge-chardonnay-2019
2024,2024-01-01,2024-12-31,vitis-ridge-chardonnay-2019-f,vitis-ridge-chardonnay-2019
2024,2024-01-01,2024-12-31,vitis-ridge-marechal-foch-2021-c,vitis-ridge-marechal-foch-2021
2024,2024-01-01,2024-12-31,vitis-ridge-marechal-foch-2021-d,vitis-ridge-marechal-foch-2021
2024,2024-01-01,2024-12-31,vitis-ridge-rose-of-pinot-noir-2021-a,vitis-ridge-rose-of-pinot-noir-2021
2024,2024-01-01,2024-12-31,vitis-ridge-rose-of-pinot-noir-2021-b,vitis-ridge-rose-of-pinot-noir-2021
