date,type,wine,bottle,sourceType,sourceName,drinkFrom,drinkUntil,note
1996-05-18,acquire,chateau-mouton-rothschild-grand-vin-1993,chateau-mouton-rothschild-grand-vin-1993-a,,"retail, delayed release",,,
1996-05-18,acquire,chateau-mouton-rothschild-grand-vin-1993,chateau-mouton-rothschild-grand-vin-1993-b,,"retail, delayed release",,,
1996-05-18,acquire,chateau-mouton-rothschild-grand-vin-1993,chateau-mouton-rothschild-grand-vin-1993-c,,"retail, delayed release",,,
1996-05-18,acquire,chateau-mouton-rothschild-grand-vin-1993,chateau-mouton-rothschild-grand-vin-1993-d,,"retail, delayed release",,,
1996-05-18,acquire,chateau-mouton-rothschild-grand-vin-1993,chateau-mouton-rothschild-grand-vin-1993-e,,"retail, delayed release",,,
1996-05-18,acquire,chateau-mouton-rothschild-grand-vin-1993,chateau-mouton-rothschild-grand-vin-1993-f,,"retail, delayed release",,,
1996-06-03,assess,chateau-mouton-rothschild-grand-vin-1993,,critic,The Vintner's Ledger,1999,2015,"Rain-affected vintage. Approachable early, not a long-haul bottle by Pauillac standards."
1996-11-09,consume,chateau-mouton-rothschild-grand-vin-1993,chateau-mouton-rothschild-grand-vin-1993-a,,,,,"First one. Very impressed. Cassis, graphite, real length. Young but already giving."
1996-11-10,assess,chateau-mouton-rothschild-grand-vin-1993,,personal,me,1998,2018,Better than the vintage's reputation suggests.
1999-03-20,consume,chateau-mouton-rothschild-grand-vin-1993,chateau-mouton-rothschild-grand-vin-1993-b,,,,,"Blind, against several much cheaper bottles. It did not win. Sobering and useful. Price is not quality."
1999-03-21,assess,chateau-mouton-rothschild-grand-vin-1993,,personal,me,1998,2012,"Revising down after the blind tasting. Good wine, not a great one, and not one to hold for decades."
2008-09-14,assess,chateau-mouton-rothschild-grand-vin-1993,,critic,Pacific Vintage Quarterly,1999,2020,Retrospective. Well-stored examples still showing.
2014-01-09,assess,brooks-riesling-2013,,critic,Cascadia Wine Review,2018,2027,"Harvest rain, lighter and earlier drinking."
2014-03-12,acquire,brooks-pinot-noir-2012,brooks-pinot-noir-2012-a,,winery club,,,
2014-03-12,acquire,brooks-pinot-noir-2012,brooks-pinot-noir-2012-b,,winery club,,,
2014-03-12,acquire,brooks-pinot-noir-2012,brooks-pinot-noir-2012-c,,winery club,,,
2014-03-12,acquire,brooks-riesling-2013,brooks-riesling-2013-a,,winery club,,,
2014-03-12,acquire,brooks-riesling-2013,brooks-riesling-2013-b,,winery club,,,
2014-03-12,acquire,brooks-riesling-2013,brooks-riesling-2013-c,,winery club,,,
2014-03-12,assess,brooks-pinot-noir-2012,,producer,Brooks,2017,2027,Window at purchase.
2014-03-12,assess,brooks-riesling-2013,,producer,Brooks,2018,2028,Window at purchase.
2014-06-12,acquire,brooks-pinot-noir-2012,brooks-pinot-noir-2012-d,,winery club,,,
2014-06-12,acquire,brooks-pinot-noir-2012,brooks-pinot-noir-2012-e,,winery club,,,
2014-06-12,acquire,brooks-pinot-noir-2012,brooks-pinot-noir-2012-f,,winery club,,,
2014-06-12,acquire,brooks-riesling-2013,brooks-riesling-2013-d,,winery club,,,
2014-06-12,acquire,brooks-riesling-2013,brooks-riesling-2013-e,,winery club,,,
2014-06-12,acquire,brooks-riesling-2013,brooks-riesling-2013-f,,winery club,,,
2014-09-21,acquire,brooks-pinot-noir-2012,brooks-pinot-noir-2012-g,,winery club,,,
2014-09-21,acquire,brooks-pinot-noir-2012,brooks-pinot-noir-2012-h,,winery club,,,
2014-09-21,acquire,brooks-pinot-noir-2012,brooks-pinot-noir-2012-i,,winery club,,,
2014-09-21,acquire,brooks-riesling-2013,brooks-riesling-2013-g,,winery club,,,
2014-09-21,acquire,brooks-riesling-2013,brooks-riesling-2013-h,,winery club,,,
2014-09-21,acquire,brooks-riesling-2013,brooks-riesling-2013-i,,winery club,,,
2014-12-08,acquire,brooks-pinot-noir-2012,brooks-pinot-noir-2012-j,,winery club,,,
2014-12-08,acquire,brooks-pinot-noir-2012,brooks-pinot-noir-2012-k,,winery club,,,
2014-12-08,acquire,brooks-pinot-noir-2012,brooks-pinot-noir-2012-l,,winery club,,,
2014-12-08,acquire,brooks-riesling-2013,brooks-riesling-2013-j,,winery club,,,
2014-12-08,acquire,brooks-riesling-2013,brooks-riesling-2013-k,,winery club,,,
2014-12-08,acquire,brooks-riesling-2013,brooks-riesling-2013-l,,winery club,,,
2015-03-12,assess,brooks-riesling-2014,,producer,Brooks,2019,2029,Release notes. Warm and generous.
2015-03-21,acquire,brooks-pinot-noir-2013,brooks-pinot-noir-2013-a,,winery club,,,
2015-03-21,acquire,brooks-pinot-noir-2013,brooks-pinot-noir-2013-b,,winery club,,,
2015-03-21,acquire,brooks-pinot-noir-2013,brooks-pinot-noir-2013-c,,winery club,,,
2015-03-21,acquire,brooks-riesling-2014,brooks-riesling-2014-a,,winery club,,,
2015-03-21,acquire,brooks-riesling-2014,brooks-riesling-2014-b,,winery club,,,
2015-03-21,acquire,brooks-riesling-2014,brooks-riesling-2014-c,,winery club,,,
2015-05-01,assess,california-assorted-cabernet-sauvignon-2013,,critic,Northwest Cellar Notes,2016,2024,Drink early. Not a keeper.
2015-06-12,assess,brooks-pinot-noir-2013,,producer,Brooks,2018,2028,"Release notes. Harvest rain, lighter and earlier drinking."
