wine_id,producer,cuvee,vintage,varietal,appellation,region,color
brooks-pinot-noir-2012,Brooks,Pinot Noir,2012,Pinot Noir,Eola-Amity Hills,Willamette Valley,red
brooks-riesling-2013,Brooks,Riesling,2013,Riesling,Eola-Amity Hills,Willamette Valley,white
brooks-pinot-noir-2013,Brooks,Pinot Noir,2013,Pinot Noir,Eola-Amity Hills,Willamette Valley,red
brooks-riesling-2014,Brooks,Riesling,2014,Riesling,Eola-Amity Hills,Willamette Valley,white
brooks-pinot-noir-2014,Brooks,Pinot Noir,2014,Pinot Noir,Eola-Amity Hills,Willamette Valley,red
brooks-riesling-2015,Brooks,Riesling,2015,Riesling,Eola-Amity Hills,Willamette Valley,white
brooks-pinot-noir-2015,Brooks,Pinot Noir,2015,Pinot Noir,Eola-Amity Hills,Willamette Valley,red
brooks-riesling-2016,Brooks,Riesling,2016,Riesling,Eola-Amity Hills,Willamette Valley,white
brooks-pinot-noir-2016,Brooks,Pinot Noir,2016,Pinot Noir,Eola-Amity Hills,Willamette Valley,red
brooks-riesling-2017,Brooks,Riesling,2017,Riesling,Eola-Amity Hills,Willamette Valley,white
brooks-pinot-noir-2017,Brooks,Pinot Noir,2017,Pinot Noir,Eola-Amity Hills,Willamette Valley,red
brooks-riesling-2018,Brooks,Riesling,2018,Riesling,Eola-Amity Hills,Willamette Valley,white
brooks-pinot-noir-2018,Brooks,Pinot Noir,2018,Pinot Noir,Eola-Amity Hills,Willamette Valley,red
brooks-riesling-2019,Brooks,Riesling,2019,Riesling,Eola-Amity Hills,Willamette Valley,white
brooks-pinot-noir-2019,Brooks,Pinot Noir,2019,Pinot Noir,Eola-Amity Hills,Willamette Valley,red
brooks-riesling-2020,Brooks,Riesling,2020,Riesling,Eola-Amity Hills,Willamette Valley,white
brooks-riesling-2021,Brooks,Riesling,2021,Riesling,Eola-Amity Hills,Willamette Valley,white
california-assorted-cabernet-sauvignon-2012,California (assorted),Cabernet Sauvignon,2012,Cabernet Sauvignon,,,red
california-assorted-cabernet-sauvignon-2013,California (assorted),Cabernet Sauvignon,2013,Cabernet Sauvignon,,,red
california-assorted-cabernet-sauvignon-2014,California (assorted),Cabernet Sauvignon,2014,Cabernet Sauvignon,,,red
california-assorted-cabernet-sauvignon-2016,California (assorted),Cabernet Sauvignon,2016,Cabernet Sauvignon,,,red
california-assorted-cabernet-sauvignon-2018,California (assorted),Cabernet Sauvignon,2018,Cabernet Sauvignon,,,red
california-assorted-cabernet-sauvignon-2019,California (assorted),Cabernet Sauvignon,2019,Cabernet Sauvignon,,,red
california-assorted-cabernet-sauvignon-2020,California (assorted),Cabernet Sauvignon,2020,Cabernet Sauvignon,,,red
chateau-mouton-rothschild-grand-vin-1993,Chateau Mouton Rothschild,Grand Vin,1993,Cabernet Sauvignon,Pauillac,Bordeaux,red
farm-on-golden-hill-chardonnay-2022,Farm on Golden Hill,Chardonnay,2022,Chardonnay,Willamette Valley,Willamette Valley,white
farm-on-golden-hill-pinot-noir-2022,Farm on Golden Hill,Pinot Noir,2022,Pinot Noir,Willamette Valley,Willamette Valley,red
farm-on-golden-hill-rose-2023,Farm on Golden Hill,Rose,2023,Rose,Willamette Valley,Willamette Valley,rose
farm-on-golden-hill-riesling-2023,Farm on Golden Hill,Riesling,2023,Riesling,Willamette Valley,Willamette Valley,white
farm-on-golden-hill-pinot-noir-2023,Farm on Golden Hill,Pinot Noir,2023,Pinot Noir,Willamette Valley,Willamette Valley,red
farm-on-golden-hill-riesling-2024,Farm on Golden Hill,Riesling,2024,Riesling,Willamette Valley,Willamette Valley,white
farm-on-golden-hill-rose-2024,Farm on Golden Hill,Rose,2024,Rose,Willamette Valley,Willamette Valley,rose
lodi-assorted-zinfandel-2014,Lodi (assorted),Zinfandel,2014,Zinfandel,,,red
lodi-assorted-zinfandel-2015,Lodi (assorted),Zinfandel,2015,Zinfandel,,,red
lodi-assorted-zinfandel-2016,Lodi (assorted),Zinfandel,2016,Zinfandel,,,red
lodi-assorted-zinfandel-2017,Lodi (assorted),Zinfandel,2017,Zinfandel,,,red
